SampleName,Dataset,xsec [pb],xsec unc [pb],Ntuple List,Pileup File,Nevents,SumW,SumW2,Neff,Luminosity [/fb],TLatexName,,,
DiPhotonJetsMGG80toInf13TeVamcatnloFXFXpythia8,/DiPhotonJets_MGG-80toInf_13TeV_amcatnloFXFX_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,138.6,.3287,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/DiPhotonJetsMGG80toInf13TeVamcatnloFXFXpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/DiPhotonJetsMGG80toInf13TeVamcatnloFXFXpythia8.root,3883535,1118685275,1032563994638,1211989.525,8.744513167,#gamma#gamma,,TRUE,TRUE
GJetsHT200To400TuneCP513TeVmadgraphMLMpythia8,/GJets_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v2/MINIAODSIM,2193.,.6407,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/GJetsHT200To400TuneCP513TeVmadgraphMLMpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/GJetsHT200To400TuneCP513TeVmadgraphMLMpythia8.root,10231017,10224007,10231017,10217001.8,4.658915549,#gamma+jets,,TRUE,TRUE
GJetsHT400To600TuneCP513TeVmadgraphMLMpythia8,/GJets_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,258.3,.1133,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/GJetsHT400To600TuneCP513TeVmadgraphMLMpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/GJetsHT400To600TuneCP513TeVmadgraphMLMpythia8.root,4646958,4640128,4646958,4633308.039,17.9377005,#gamma+jets,,TRUE,TRUE
GJetsHT600ToInfTuneCP513TeVmadgraphMLMpythia8,/GJets_HT-600ToInf_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,85.23,.0448,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/GJetsHT600ToInfTuneCP513TeVmadgraphMLMpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/GJetsHT600ToInfTuneCP513TeVmadgraphMLMpythia8.root,3289629,3278039,3289629,3266489.834,38.32558763,#gamma+jets,,TRUE,TRUE
SinglePhotonRun2017B31Mar2018v1MINIAOD,/SinglePhoton/Run2017B-31Mar2018-v1/MINIAOD,-1.,-1.,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix//SinglePhotonRun2017B31Mar2018v1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/pileup_2017_data.root,-1.,-1.,-1.,-1.,-1.,SinglePhoton 2017B,,,
SinglePhotonRun2017C31Mar2018v1MINIAOD,/SinglePhoton/Run2017C-31Mar2018-v1/MINIAOD,-1.,-1.,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix//SinglePhotonRun2017C31Mar2018v1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/pileup_2017_data.root,-1.,-1.,-1.,-1.,-1.,SinglePhoton 2017C,,,
SinglePhotonRun2017D31Mar2018v1MINIAOD,/SinglePhoton/Run2017D-31Mar2018-v1/MINIAOD,-1.,-1.,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix//SinglePhotonRun2017D31Mar2018v1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/pileup_2017_data.root,-1.,-1.,-1.,-1.,-1.,SinglePhoton 2017D,,,
SinglePhotonRun2017E31Mar2018v1MINIAOD,/SinglePhoton/Run2017E-31Mar2018-v1/MINIAOD,-1.,-1.,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix//SinglePhotonRun2017E31Mar2018v1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/pileup_2017_data.root,-1.,-1.,-1.,-1.,-1.,SinglePhoton 2017E,,,
SinglePhotonRun2017F09May2018v1MINIAOD,/SinglePhoton/Run2017F-09May2018-v1/MINIAOD,-1.,-1.,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix//SinglePhotonRun2017F09May2018v1.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/pileup_2017_data.root,-1.,-1.,-1.,-1.,-1.,SinglePhoton 2017F,,,
TGJetsTuneCP513TeVamcatnlomadspinpythia8,/TGJets_TuneCP5_13TeV_amcatnlo_madspin_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,3.055,.01255,/local/cms/user/wadud/aNTGCmet/aNTGC_analysis/data/ntuples_CMSSW_10_6_18_METbugfix/TGJetsTuneCP513TeVamcatnlomadspinpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/pileup_CMSSW_10_6_18_METbugfix/TGJetsTuneCP513TeVamcatnlomadspinpythia8.root,1909000,5919452.74,483056959.2,72537.86552,23.74398217,t+#gamma+jets,,TRUE,TRUE
