Name,Dataset,xsec [pb],xsec unc [pb],Ntuple List,Pileup File,Nevents,SumW,SumW2,Neff,Luminosity [/fb],TLatexName
DiPhotonJetsMGG80toInf13TeVamcatnloFXFXpythia8,/DiPhotonJets_MGG-80toInf_13TeV_amcatnloFXFX_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,138.6,.3287,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//DiPhotonJetsMGG80toInf13TeVamcatnloFXFXpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/DiPhotonJetsMGG80toInf13TeVamcatnloFXFXpythia8.root,3883535,1118685275.48852539062500000000,1032563994637.50000000000000000000,1211989.52519566030241549015,8.74,#gamma#gamma
DYJetsToEEM50LTbinned100To2005fLO13TeVmadgraphpythia8,/DYJetsToEE_M-50_LTbinned_100To200_5f_LO_13TeV-madgraph_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,93.66,0.05654,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists/DYJetsToEEM50LTbinned100To2005fLO13TeVmadgraphpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/DYJetsToEEM50LTbinned100To2005fLO13TeVmadgraphpythia8.root,2230077,2227117.00000000000000000000,2230077.00000000000000000000,2224160.92883295053616166115,23.75,DY+jets (100 GeV<L_{T}<200 GeV)
DYJetsToEEM50LTbinned200To4005fLO13TeVmadgraphpythia8,/DYJetsToEE_M-50_LTbinned_200To400_5f_LO_13TeV-madgraph_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM,4.135,0.004698,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists/DYJetsToEEM50LTbinned200To4005fLO13TeVmadgraphpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/DYJetsToEEM50LTbinned200To4005fLO13TeVmadgraphpythia8.root,688400,686444.00000000000000000000,688400.00000000000000000000,684493.55772225453983992338,165.54,DY+jets (200 GeV<L_{T}<400 GeV)
DYJetsToEEM50LTbinned400To8005fLO13TeVmadgraphpythia8,/DYJetsToEE_M-50_LTbinned_400To800_5f_LO_13TeV-madgraph_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,0.2457,0.0002405,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists/DYJetsToEEM50LTbinned400To8005fLO13TeVmadgraphpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/DYJetsToEEM50LTbinned400To8005fLO13TeVmadgraphpythia8.root,955396,950278.00000000000000000000,955396.00000000000000000000,945187.41682401846628636122,"3,846.92",DY+jets (400 GeV<L_{T}<800 GeV)
DYJetsToEEM50LTbinned800To20005fLO13TeVmadgraphpythia8,/DYJetsToEE_M-50_LTbinned_800To2000_5f_LO_13TeV-madgraph_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,0.009936,0.00001095,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists/DYJetsToEEM50LTbinned800To20005fLO13TeVmadgraphpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/DYJetsToEEM50LTbinned800To20005fLO13TeVmadgraphpythia8.root,769820,757960.00000000000000000000,769820.00000000000000000000,746282.71751838095951825380,"75,108.97",DY+jets (800 GeV<L_{T}<2000 GeV)
GJetsDR0p4HT200To400TuneCP513TeVmadgraphMLMpythia8v2,/GJets_DR-0p4_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8_v2/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,1127.,.1492,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//GJetsDR0p4HT200To400TuneCP513TeVmadgraphMLMpythia8v2.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/GJetsDR0p4HT200To400TuneCP513TeVmadgraphMLMpythia8v2.root,49928037,49891791.00000000000000000000,49928037.00000000000000000000,49855571.31332203000783920288,44.24,#gamma^{0.4}+jets (200 GeV<H_{T}<400 GeV)
GJetsDR0p4HT400To600TuneCP513TeVmadgraphMLMpythia8v2,/GJets_DR-0p4_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8_v2/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,124.6,.03222,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//GJetsDR0p4HT400To600TuneCP513TeVmadgraphMLMpythia8v2.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/GJetsDR0p4HT400To600TuneCP513TeVmadgraphMLMpythia8v2.root,13389304,13367286.00000000000000000000,13389304.00000000000000000000,13345304.20743273943662643433,107.11,#gamma^{0.4}+jets (400 GeV<H_{T}<600 GeV)
GJetsDR0p4HT600ToInfTuneCP513TeVmadgraphMLMpythia8,/GJets_DR-0p4_HT-600ToInf_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,40.66,.01339,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//GJetsDR0p4HT600ToInfTuneCP513TeVmadgraphMLMpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/GJetsDR0p4HT600ToInfTuneCP513TeVmadgraphMLMpythia8.root,8392881,8361249.00000000000000000000,8392881.00000000000000000000,8329736.21811163518577814102,204.86,#gamma^{0.4}+jets (600 GeV<H_{T}<#infty)
GJetsHT200To400TuneCP513TeVmadgraphMLMpythia8,/GJets_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v2/MINIAODSIM,2193.,.6407,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//GJetsHT200To400TuneCP513TeVmadgraphMLMpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/GJetsHT200To400TuneCP513TeVmadgraphMLMpythia8.root,10231017,10224007.00000000000000000000,10231017.00000000000000000000,10217001.80305134877562522888,4.66,#gamma+jets (200 GeV<H_{T}<400 GeV)
GJetsHT400To600TuneCP513TeVmadgraphMLMpythia8,/GJets_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,258.3,.1133,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//GJetsHT400To600TuneCP513TeVmadgraphMLMpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/GJetsHT400To600TuneCP513TeVmadgraphMLMpythia8.root,4646958,4640128.00000000000000000000,4646958.00000000000000000000,4633308.03858868498355150223,17.94,#gamma+jets (400 GeV<H_{T}<600 GeV)
GJetsHT600ToInfTuneCP513TeVmadgraphMLMpythia8,/GJets_HT-600ToInf_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,85.23,.0448,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//GJetsHT600ToInfTuneCP513TeVmadgraphMLMpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/GJetsHT600ToInfTuneCP513TeVmadgraphMLMpythia8.root,3289629,3278039.00000000000000000000,3289629.00000000000000000000,3266489.83381439046934247017,38.33,#gamma+jets (600 GeV<H_{T}<#infty)
QCDHT1000to1500TuneCP513TeVmadgraphpythia8,/QCD_HT1000to1500_TuneCP5_13TeV-madgraph-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM,1095.,.2593,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//QCDHT1000to1500TuneCP513TeVmadgraphpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/QCDHT1000to1500TuneCP513TeVmadgraphpythia8.root,16640618,16530204.00000000000000000000,16640618.00000000000000000000,16420522.62011038325726985931,15.00,QCD (1000 GeV<H_{T}<1500 GeV)
QCDHT1500to2000TuneCP513TeVmadgraphpythia8,/QCD_HT1500to2000_TuneCP5_13TeV-madgraph-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,99.13,.02815,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//QCDHT1500to2000TuneCP513TeVmadgraphpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/QCDHT1500to2000TuneCP513TeVmadgraphpythia8.root,11634434,11508604.00000000000000000000,11634434.00000000000000000000,11384134.89034498855471611023,114.84,QCD (1500 GeV<H_{T}<2000 GeV)
QCDHT2000toInfTuneCP513TeVmadgraphpythia8,/QCD_HT2000toInf_TuneCP5_13TeV-madgraph-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,20.19,.008102,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//QCDHT2000toInfTuneCP513TeVmadgraphpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/QCDHT2000toInfTuneCP513TeVmadgraphpythia8.root,5941306,5825566.00000000000000000000,5941306.00000000000000000000,5712080.68063755705952644348,282.92,QCD (2000 GeV<H_{T}<#infty)
QCDHT200to300TuneCP513TeVmadgraphpythia8,/QCD_HT200to300_TuneCP5_13TeV-madgraph-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v2/MINIAODSIM,1554000.,189.6,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//QCDHT200to300TuneCP513TeVmadgraphpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/QCDHT200to300TuneCP513TeVmadgraphpythia8.root,59427619,59360369.00000000000000000000,59427619.00000000000000000000,59293195.10203094035387039185,0.04,QCD (200 GeV<H_{T}<300 GeV)
QCDHT300to500TuneCP513TeVmadgraphpythia8,/QCD_HT300to500_TuneCP5_13TeV-madgraph-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM,323400.,39.82,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//QCDHT300to500TuneCP513TeVmadgraphpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/QCDHT300to500TuneCP513TeVmadgraphpythia8.root,59569132,59459614.00000000000000000000,59569132.00000000000000000000,59350297.34912028163671493530,0.18,QCD (300 GeV<H_{T}<500 GeV)
QCDHT500to700TuneCP513TeVmadgraphpythia8,/QCD_HT500to700_TuneCP5_13TeV-madgraph-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,30040.,3.836,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//QCDHT500to700TuneCP513TeVmadgraphpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/QCDHT500to700TuneCP513TeVmadgraphpythia8.root,56207744,56041018.00000000000000000000,56207744.00000000000000000000,55874786.55034302920103073120,1.86,QCD (500 GeV<H_{T}<700 GeV)
QCDHT700to1000TuneCP513TeVmadgraphpythia8,/QCD_HT700to1000_TuneCP5_13TeV-madgraph-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,6353.,.8847,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//QCDHT700to1000TuneCP513TeVmadgraphpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/QCDHT700to1000TuneCP513TeVmadgraphpythia8.root,47724800,47518924.00000000000000000000,47724800.00000000000000000000,47313936.11115764081478118896,7.45,QCD (700 GeV<H_{T}<1000 GeV)
